nome;email;endereço;data_cadastro
Adalberto Álvez;adalba@xpto.com.br;;
Ajuricaba Castanho;ajucast@xpto.com.br;Rua Nova Iorque;25-05-2006
Alfredo Piñero;alfredo@xpto.com.br;Rua Nova Jersey;30-12-2016
Alicia Sousa de Arronches;alicia@xpto.com.br;;12-10-2014
Andreia Faria;andreia@xpto.com.br;;
Anind Coutinho;;Rua Nova Iorque;02-01-2010
Antão Amaro;antao@xfs.com;Rua Nova Zelandia;22-10-2001
Arcidres Simón;;Rua Nova Iorque;02-01-2010
Baltasar Moura;baltasar@balta.com.br;;
Berengário Peláez;bpelaez@balta.com.br;;17-10-1995
Boaventura Caiapó;boa@balta.com.br;Rua J;
Capitolino Mendonça;mendonca@balta.com.br;Rua Inglesa;15-08-2013
Carmem Iglesias;carmen@balta.com.br;Rua Tonnaza;07-09-2009
Catarino Felgueiras;catarino@balta.com.br;;04-04-2004
Celina Borja;contato@balta.com.br;;04-09-2014
Cidália Torquato;atendimento@xpto.com.br;Rua Nova Iorque;18-08-2012
Cosme Butantã;;;01-04-2015
Cristiana Camacho;xpto@balta.com.br;;
Cristóvão Leal;atendimento@xpto.com.br;Rua Nova Iorque;18-08-2012
Deolindo Cardim;;;01-04-2015
Diodete Fraga;xpto@balta.com.br;;
Dirceu Raposo;atendimento@xpto.com.br;Rua Nova Iorque;18-08-2012
Evandro Olivares;xpto@balta.com.br;;
Evangelista Branco;atendimento@xpto.com.br;Rua Nova Iorque;18-08-2012
Felisbela Linares;xpto@balta.com.br;;
Firmina Freyre;contato@balta.com.br;;04-09-2014
Frederico Pais;;;01-04-2015
Fábia Castelo;atendimento@xpto.com.br;Rua Nova Iorque;18-08-2012
Gilberto Pinheiro;xpto@balta.com.br;;
Hermígio Vidigal;contato@balta.com.br;;04-09-2014
Ildefonso Almeida;;;01-04-2015
Jeremias Puentes;atendimento@xpto.com.br;Rua Nova Iorque;18-08-2012
Judas Pino;xpto@balta.com.br;;
Jurema Méndez;contato@balta.com.br;;04-09-2014
Levindo Canejo;xpto@balta.com.br;;
Manuela Bicudo;atendimento@xpto.com.br;Rua Nova Iorque;18-08-2012
Marilda Salles;;;01-04-2015
Martim Junquera;atendimento@xpto.com.br;Rua Nova Iorque;18-08-2012
Miguelina Montero;xpto@balta.com.br;;
Mônica   Peres;;;01-04-2015
Noémia Canejo;contato@balta.com.br;;04-09-2014
Noêmia   Pegado;;;01-04-2015
Quintino Baía;;;01-04-2015
Severino Gabeira;xpto@balta.com.br;;
Simone Bulhões;atendimento@xpto.com.br;Rua Nova Iorque;18-08-2012
Suniário Ilha;contato@balta.com.br;;04-09-2014
Tainá Verissimo;xpto@balta.com.br;;
Tairine Mederos;atendimento@xpto.com.br;Rua Nova Iorque;18-08-2012
Veríssimo Ruas;;;01-04-2015
Vlademiro Peroba;contato@balta.com.br;;04-09-2014
